Country,Region,Year,Gender,Population Density,Health Expenditure Govt,Health Expenditure Pvt,Health Expenditure Indv,Life Expectancy,Education Expenditure,Mean years in school,Average Income,Employment Rate,Income Inequality,Child Mortality Rate,Adult Mortality Rate,Suicides,Murders
Afghanistan,ASIA (EX. NEAR EAST),2000,Male,30.8,5.62,94.4,85.4,54.4,2.39,3.78,603.0,77.3,30.5,470.0,549.0,1250.0,3590.0
Albania,EASTERN EUROPE,2000,Male,114.0,50.0,50.0,64.6,71.2,2.89,9.08,668.0,60.2,38.9,375.0,157.0,175.0,260.0
Algeria,NORTHERN AFRICA,2000,Male,13.1,75.4,24.6,25.8,68.9,4.47,7.23,724.0,53.1,56.2,460.0,342.0,1080.0,463.0
Andorra,WESTERN EUROPE,2000,Male,139.0,64.4,35.6,47.9,0.0,2.52,13.2,1220.0,0.0,40.0,12.9,0.0,6.19,0.47
Angola,SUB-SAHARAN AFRICA,2000,Male,13.2,86.8,13.2,27.3,44.8,2.99,4.49,642.0,63.0,57.2,486.0,517.0,819.0,672.0
Antigua and Barbuda,LATIN AMER. & CARIB,2000,Male,190.0,66.5,33.5,27.0,71.0,3.43,11.6,758.0,0.0,40.0,437.0,247.0,1.59,3.23
Argentina,LATIN AMER. & CARIB,2000,Male,13.5,59.8,40.2,29.1,70.1,4.6,9.89,1510.0,64.8,47.7,402.0,247.0,4520.0,2350.0
Armenia,C.W. OF IND. STATES,2000,Male,108.0,31.0,69.0,74.4,68.1,2.33,9.61,514.0,60.9,31.5,366.0,177.0,135.0,137.0
Australia,OCEANIA,2000,Male,2.48,65.8,34.2,21.0,76.9,4.83,12.9,831.0,67.6,38.7,391.0,208.0,2560.0,330.0
Austria,WESTERN EUROPE,2000,Male,97.9,74.0,26.1,17.8,75.1,5.37,10.1,1920.0,65.6,33.4,302.0,206.0,1660.0,84.8
Azerbaijan,C.W. OF IND. STATES,2000,Male,98.3,23.8,76.3,77.1,63.6,4.04,10.4,776.0,62.6,70.5,376.0,221.0,218.0,463.0
Bahamas,LATIN AMER. & CARIB,2000,Male,29.8,39.9,60.1,21.4,69.2,3.84,10.7,1450.0,76.6,40.0,432.0,276.0,7.55,48.4
Bahrain,NEAR EAST,2000,Male,874.0,69.6,30.4,25.8,73.7,3.97,8.6,1280.0,86.2,40.0,440.0,226.0,56.3,14.5
Bangladesh,ASIA (EX. NEAR EAST),2000,Male,1010.0,36.1,63.9,61.1,65.0,1.28,5.34,875.0,84.1,28.0,508.0,255.0,12800.0,4560.0
Barbados,LATIN AMER. & CARIB,2000,Male,628.0,68.0,32.0,39.4,71.0,4.35,9.08,915.0,69.7,40.0,487.0,251.0,13.0,23.0
